Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,15.92,16.535,15.7,16.52,13.237988,2100400
2009-01-05,16.549999,16.91,16.115,16.514999,13.233981,2306200
2009-01-06,16.690001000000002,17.075001,16.264999,16.84,13.494414,2691200
2009-01-07,16.709999,16.785,16.01,16.08,12.885405,2825400
2009-01-08,16.08,16.629998999999998,15.845,16.504998999999998,13.225970000000002,2809800
2009-01-09,16.445,16.639999,15.925,16.110001,12.909442,2107200
2009-01-12,15.99,16.09,15.35,15.54,12.452682000000001,2003600
2009-01-13,15.405,15.865,15.355,15.49,12.412616,2630200
2009-01-14,15.22,15.23,14.61,14.735,11.807613,2174200
2009-01-15,14.645,15.11,14.16,14.965,11.991916,2501200
2009-01-16,15.125,15.4,14.74,15.1,12.100098,2539600
2009-01-20,15.09,15.09,13.77,13.795,11.054362,2803200
2009-01-21,14.08,14.66,13.855,14.66,11.747512,2442400
2009-01-22,14.335,14.56,13.945,14.29,11.45102,2091000
2009-01-23,13.83,14.32,13.63,14.155,11.342838,2906000
2009-01-26,14.235,14.555,13.66,13.82,11.074392999999999,2482200
2009-01-27,13.855,13.94,13.35,13.58,10.882073,2743800
2009-01-28,13.835,14.515,13.73,14.37,11.515127,2274400
2009-01-29,14.165,14.245,13.63,13.67,10.954194000000001,1990000
2009-01-30,12.74,13.395,12.38,12.975,10.397269,6680600
2009-02-02,12.78,13.09,12.485,12.655,10.140842,3146000
2009-02-03,12.865,12.995,12.52,12.71,10.184917,2466000
2009-02-04,12.94,12.94,12.42,12.505,10.020644,2413400
2009-02-05,12.45,13.01,12.225,12.86,10.305117,1973600
2009-02-06,12.905,13.28,12.845,13.175,10.557534,1605200
2009-02-09,13.085,13.315,12.905,13.08,10.481407,2261400
2009-02-10,12.985,13.14,12.28,12.405,9.940514,2872200
2009-02-11,12.49,12.72,12.28,12.47,9.992596,2044400
2009-02-12,12.28,12.45,11.94,12.44,9.968556,2036000
2009-02-13,12.515,12.765,12.345,12.395,9.932497,1931600
2009-02-17,12.12,12.12,11.72,11.805,9.459715,3756600
2009-02-18,11.84,12.05,11.655,11.825,9.475738,2471800
2009-02-19,12.01,12.135,11.635,11.74,9.407627,2309000
2009-02-20,11.4,11.82,11.15,11.445,9.171228999999999,2886800
2009-02-23,11.71,11.71,10.69,10.725,8.594275,2568000
2009-02-24,10.78,11.38,10.61,11.335,9.083084,2790600
2009-02-25,11.29,11.355,10.705,10.815,8.666394,3376000
2009-02-26,10.88,11.23,10.605,10.65,8.534174,2442800
2009-02-27,10.45,10.585,10.225,10.27,8.229669,3443000
2009-03-02,10.145,10.33,9.5,9.55,7.652711,4290200
2009-03-03,9.71,9.895,9.4,9.455,7.576583,3452800
2009-03-04,9.55,9.92,9.55,9.715,7.784930999999999,3784000
2009-03-05,9.45,9.57,8.92,9.0,7.211977,2813400
2009-03-06,9.135,9.36,8.88,9.13,7.316151,4377200
2009-03-09,9.275,9.74,9.11,9.415,7.544528999999999,5081400
2009-03-10,9.62,10.37,9.545,10.365,8.305798,4195200
2009-03-11,10.355,10.85,10.315,10.745,8.610304,3572200
2009-03-12,10.51,11.42,10.485,11.415,9.338391,4149200
2009-03-13,11.515,11.755,11.36,11.68,9.555183999999999,3197800
2009-03-16,11.7,11.975,11.35,11.365,9.297488000000001,3652000
2009-03-17,11.225,11.715,11.21,11.715,9.583817,2709400
2009-03-18,11.755,12.24,11.495,12.15,9.939682000000001,1841000
2009-03-19,12.3,12.555,12.155,12.41,10.152385,2207600
2009-03-20,12.52,12.64,11.98,12.08,9.882419,2222400
2009-03-23,12.38,13.06,12.245,13.06,10.684135000000001,1634000
2009-03-24,12.835,13.16,12.765,13.06,10.684135000000001,2157600
2009-03-25,13.14,13.74,12.73,13.2,10.798669,2409400
2009-03-26,13.34,13.8,13.315,13.76,11.256793,1980400
2009-03-27,13.505,13.805,13.355,13.655,11.170894,2229800
2009-03-30,13.315,13.4,12.91,13.17,10.774124,2414200
2009-03-31,13.425,13.73,13.095,13.4,10.962284,2555600
2009-04-01,13.165,14.255,13.07,14.175,11.596295,2904600
2009-04-02,14.525,14.915,14.425,14.625,11.964433,2401200
2009-04-03,14.605,15.035,14.19,15.035,12.299847,1306600
2009-04-06,14.845,15.075,14.51,14.91,12.197583999999999,1924200
2009-04-07,14.61,14.68,14.275,14.425,11.800817,1834400
2009-04-08,14.425,14.58,14.25,14.545,11.898986,1862600
2009-04-09,15.075,15.51,14.915,15.51,12.688432,1281000
2009-04-13,15.39,15.51,14.98,15.395,12.594354,1939000
2009-04-14,15.25,15.73,15.01,15.315,12.528909,1451000
2009-04-15,15.15,15.72,15.125,15.71,12.85205,954000
2009-04-16,15.785,16.33,15.455,16.245001000000002,13.289725,1881400
2009-04-17,16.264999,16.285,15.86,16.174999,13.232455999999999,1741200
2009-04-20,15.88,15.88,15.06,15.115,12.365291000000001,1880400
2009-04-21,14.915,16.115,14.795,16.094998999999998,13.167009,1834400
2009-04-22,15.915,17.075001,15.745,16.424999,13.436979999999998,2004600
2009-04-23,16.434998999999998,16.780001000000002,16.129998999999998,16.555,13.543327,2149600
2009-04-24,17.495001000000002,20.219998999999998,17.42,20.01,16.369802,9066800
2009-04-27,19.825001,20.375,18.945,19.33,15.813502,5242000
2009-04-28,18.93,20.094998999999998,18.809998999999998,19.655001000000002,16.079373999999998,2705600
2009-04-29,19.855,20.93,19.83,20.59,16.844279999999998,2759000
2009-04-30,20.885,20.959999,19.75,19.84,16.230722,4846800
2009-05-01,19.975,20.09,19.129998999999998,19.9,16.279802,2424000
2009-05-04,20.094998999999998,21.135,20.094998999999998,21.129998999999998,17.286049,2235800
2009-05-05,21.049999,21.215,20.290001,20.695,16.93018,2762200
2009-05-06,20.91,21.209999,20.610001,21.01,17.187885,2863600
2009-05-07,21.475,21.475,20.084999,20.34,16.639765,3172800
2009-05-08,20.485001,21.459999,20.295,21.41,17.515107999999998,2196600
2009-05-11,21.09,21.09,20.165001,20.35,16.647942999999998,3193000
2009-05-12,20.344998999999998,20.450001,19.51,20.184998999999998,16.512961999999998,2964800
2009-05-13,19.690001000000002,20.055,19.094998999999998,19.195,15.703060999999998,2909200
2009-05-14,19.24,19.745001000000002,18.705,19.540001,15.985303,2928600
2009-05-15,19.305,19.795,18.780001000000002,19.01,15.551722,4416600
